,pokedex_number,name,german_name,japanese_name,generation,status,type_1,height_m,weight_kg,ability_1,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_1,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
273,222,Galarian Corsola,Corasonn,サニーゴ (Sunnygo),2,Normal,Ghost,0.6,0.5,Weak Armor,410,60,55,100,65,100,30,Fast,Water 1,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
274,223,Remoraid,Remoraid,テッポウオ (Teppouo),2,Normal,Water,0.6,12.0,Hustle,300,35,65,35,65,35,65,Medium Fast,Water 1,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
275,224,Octillery,Octillery,オクタン (Okutank),2,Normal,Water,0.9,28.5,Suction Cups,480,75,105,75,105,75,45,Medium Fast,Water 1,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
276,225,Delibird,Botogel,デリバード (Delibird),2,Normal,Ice,0.9,16.0,Vital Spirit,330,45,55,45,65,45,75,Fast,Field,20.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
277,226,Mantine,Mantax,マンタイン (Mantain),2,Normal,Water,2.1,220.0,Swift Swim,485,85,40,70,80,140,70,Slow,Water 1,25.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
278,227,Skarmory,Panzaeron,エアームド (Airmd),2,Normal,Steel,1.7,50.5,Keen Eye,465,65,80,140,40,70,70,Slow,Flying,25.0,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
279,228,Houndour,Hunduster,デルビル (Delvil),2,Normal,Dark,0.6,10.8,Early Bird,330,45,60,30,80,50,65,Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
280,229,Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark,1.4,35.0,Early Bird,500,75,90,50,110,80,95,Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
281,229,Mega Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark,1.9,49.5,Solar Power,600,75,90,90,140,90,115,Slow,Field,20.0,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
282,230,Kingdra,Seedraking,キングドラ (Kingdra),2,Normal,Water,1.8,152.0,Swift Swim,540,75,95,95,95,95,85,Medium Fast,Dragon,20.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
283,231,Phanpy,Phanpy,ゴマゾウ (Gomazou),2,Normal,Ground,0.5,33.5,Pickup,330,90,60,60,40,40,40,Medium Fast,Field,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
284,232,Donphan,Donphan,ドンファン (Donfan),2,Normal,Ground,1.1,120.0,Sturdy,500,90,120,120,60,60,50,Medium Fast,Field,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
285,233,Porygon2,Porygon2,ポリゴン２ (Porygon2),2,Normal,Normal,0.6,32.5,Trace,515,85,80,90,105,95,60,Medium Fast,Mineral,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
286,234,Stantler,Damhirplex,オドシシ (Odoshishi),2,Normal,Normal,1.4,71.2,Intimidate,465,73,95,62,85,65,85,Slow,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
287,235,Smeargle,Farbeagle,ドーブル (Doble),2,Normal,Normal,1.2,58.0,Own Tempo,250,55,20,35,20,45,75,Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
288,236,Tyrogue,Rabauz,バルキー (Balkie),2,Normal,Fighting,0.7,21.0,Guts,210,35,35,35,35,35,35,Medium Fast,Undiscovered,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
289,237,Hitmontop,Kapoera,カポエラー (Kapoerer),2,Normal,Fighting,1.4,48.0,Intimidate,455,50,95,95,35,110,70,Medium Fast,Human-Like,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
290,238,Smoochum,Kussilla,ムチュール (Muchul),2,Normal,Ice,0.4,6.0,Oblivious,305,45,30,15,85,65,65,Medium Fast,Undiscovered,25.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
291,239,Elekid,Elekid,エレキッド (Elekid),2,Normal,Electric,0.6,23.5,Static,360,45,63,37,65,55,95,Medium Fast,Undiscovered,25.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
292,240,Magby,Magby,ブビィ (Buby),2,Normal,Fire,0.7,21.4,Flame Body,365,45,75,37,70,55,83,Medium Fast,Undiscovered,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
293,241,Miltank,Miltank,ミルタンク (Miltank),2,Normal,Normal,1.2,75.5,Thick Fat,490,95,80,105,40,70,100,Slow,Field,20.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
294,242,Blissey,Heiteira,ハピナス (Happinas),2,Normal,Normal,1.5,46.8,Natural Cure,540,255,10,10,75,135,55,Fast,Fairy,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
295,243,Raikou,Raikou,ライコウ (Raikou),2,Sub Legendary,Electric,1.9,178.0,Pressure,580,90,85,75,115,100,115,Slow,Undiscovered,80.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
296,244,Entei,Entei,エンテイ (Entei),2,Sub Legendary,Fire,2.1,198.0,Pressure,580,115,115,85,90,75,100,Slow,Undiscovered,80.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
297,245,Suicune,Suicune,スイクン (Suicune),2,Sub Legendary,Water,2.0,187.0,Pressure,580,100,75,115,90,115,85,Slow,Undiscovered,80.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
298,246,Larvitar,Larvitar,ヨーギラス (Yogiras),2,Normal,Rock,0.6,72.0,Guts,300,50,64,50,45,50,41,Slow,Monster,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
299,247,Pupitar,Pupitar,サナギラス (Sanagiras),2,Normal,Rock,1.2,152.0,Shed Skin,410,70,84,70,65,70,51,Slow,Monster,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
300,248,Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Rock,2.0,202.0,Sand Stream,600,100,134,110,95,100,61,Slow,Monster,40.0,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
301,248,Mega Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Rock,2.5,255.0,Sand Stream,700,100,164,150,95,120,71,Slow,Monster,40.0,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
302,249,Lugia,Lugia,ルギア (Lugia),2,Legendary,Psychic,5.2,216.0,Pressure,680,106,90,130,90,154,110,Slow,Undiscovered,120.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
303,250,Ho-oh,Ho-Oh,ホウオウ (Houou),2,Legendary,Fire,3.8,199.0,Pressure,680,106,130,90,110,154,90,Slow,Undiscovered,120.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
304,251,Celebi,Celebi,セレビィ (Celebi),2,Mythical,Psychic,0.6,5.0,Natural Cure,600,100,100,100,100,100,100,Medium Slow,Undiscovered,120.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
305,252,Treecko,Geckarbor,キモリ (Kimori),3,Normal,Grass,0.5,5.0,Overgrow,310,40,45,35,65,55,70,Medium Slow,Dragon,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
306,253,Grovyle,Reptain,ジュプトル (Juptile),3,Normal,Grass,0.9,21.6,Overgrow,405,50,65,45,85,65,95,Medium Slow,Dragon,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
307,254,Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Grass,1.7,52.2,Overgrow,530,70,85,65,105,85,120,Medium Slow,Dragon,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
308,254,Mega Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Grass,1.9,55.2,Lightning Rod,630,70,110,75,145,85,145,Medium Slow,Dragon,20.0,1.0,1.0,0.25,0.0,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
309,255,Torchic,Flemmli,アチャモ (Achamo),3,Normal,Fire,0.4,2.5,Blaze,310,45,60,40,70,50,45,Medium Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
310,256,Combusken,Jungglut,ワカシャモ (Wakasyamo),3,Normal,Fire,0.9,19.5,Blaze,405,60,85,60,85,60,55,Medium Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
311,257,Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Fire,1.9,52.0,Blaze,530,80,120,70,110,70,80,Medium Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
312,257,Mega Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Fire,1.9,52.0,Speed Boost,630,80,160,80,130,80,100,Medium Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
313,258,Mudkip,Hydropi,ミズゴロウ (Mizugorou),3,Normal,Water,0.4,7.6,Torrent,310,50,70,50,50,50,40,Medium Slow,Monster,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
314,259,Marshtomp,Moorabbel,ヌマクロー (Numacraw),3,Normal,Water,0.7,28.0,Torrent,405,70,85,70,60,70,50,Medium Slow,Monster,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
315,260,Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Water,1.5,81.9,Torrent,535,100,110,90,85,90,60,Medium Slow,Monster,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
316,260,Mega Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Water,1.9,102.0,Swift Swim,635,100,150,110,95,110,70,Medium Slow,Monster,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
317,261,Poochyena,Fiffyen,ポチエナ (Pochiena),3,Normal,Dark,0.5,13.6,Run Away,220,35,55,35,30,30,35,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
318,262,Mightyena,Magnayen,グラエナ (Graena),3,Normal,Dark,1.0,37.0,Intimidate,420,70,90,70,60,60,70,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
319,263,Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,Normal,0.4,17.5,Pickup,240,38,30,41,30,41,60,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
320,263,Galarian Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,Dark,0.4,17.5,Pickup,240,38,30,41,30,41,60,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
321,264,Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Normal,0.5,32.5,Pickup,420,78,70,61,50,61,100,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
322,264,Galarian Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Dark,0.5,32.5,Pickup,420,78,70,61,50,61,100,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
323,265,Wurmple,Waumpel,ケムッソ (Kemusso),3,Normal,Bug,0.3,3.6,Shield Dust,195,45,45,35,20,30,20,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
324,266,Silcoon,Schaloko,カラサリス (Karasalis),3,Normal,Bug,0.6,10.0,Shed Skin,205,50,35,55,25,25,15,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
325,267,Beautifly,Papinella,アゲハント (Agehunt),3,Normal,Bug,1.0,28.4,Swarm,395,60,70,50,100,50,65,Medium Fast,Bug,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
326,268,Cascoon,Panekon,マユルド (Mayuld),3,Normal,Bug,0.7,11.5,Shed Skin,205,50,35,55,25,25,15,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
327,269,Dustox,Pudox,ドクケイル (Dokucale),3,Normal,Bug,1.2,31.6,Shield Dust,385,60,50,70,50,90,65,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
328,270,Lotad,Loturzel,ハスボー (Hassboh),3,Normal,Water,0.5,2.6,Swift Swim,220,40,30,30,40,50,30,Medium Slow,Grass,15.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
329,271,Lombre,Lombrero,ハスブレロ (Hasubrero),3,Normal,Water,1.2,32.5,Swift Swim,340,60,50,50,60,70,50,Medium Slow,Grass,15.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
330,272,Ludicolo,Kappalores,ルンパッパ (Runpappa),3,Normal,Water,1.5,55.0,Swift Swim,480,80,70,70,90,100,70,Medium Slow,Grass,15.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
331,273,Seedot,Samurzel,タネボー (Taneboh),3,Normal,Grass,0.5,4.0,Chlorophyll,220,40,40,50,30,30,30,Medium Slow,Field,15.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
332,274,Nuzleaf,Blanas,コノハナ (Konohana),3,Normal,Grass,1.0,28.0,Chlorophyll,340,70,70,40,60,40,60,Medium Slow,Field,15.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
333,275,Shiftry,Tengulist,ダーテング (Dirteng),3,Normal,Grass,1.3,59.6,Chlorophyll,480,90,100,60,90,60,80,Medium Slow,Field,15.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
334,276,Taillow,Schwalbini,スバメ (Subame),3,Normal,Normal,0.3,2.3,Guts,270,40,55,30,30,30,85,Medium Slow,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
335,277,Swellow,Schwalboss,オオスバメ (Ohsubame),3,Normal,Normal,0.7,19.8,Guts,455,60,85,60,75,50,125,Medium Slow,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
336,278,Wingull,Wingull,キャモメ (Camome),3,Normal,Water,0.6,9.5,Keen Eye,270,40,30,30,55,30,85,Medium Fast,Flying,20.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
337,279,Pelipper,Pelipper,ペリッパー (Pelipper),3,Normal,Water,1.2,28.0,Keen Eye,440,60,50,100,95,70,65,Medium Fast,Flying,20.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
338,280,Ralts,Trasla,ラルトス (Ralts),3,Normal,Psychic,0.4,6.6,Synchronize,198,28,25,25,45,35,40,Slow,Amorphous,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
339,281,Kirlia,Kirlia,キルリア (Kirlia),3,Normal,Psychic,0.8,20.2,Synchronize,278,38,35,35,65,55,50,Slow,Amorphous,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
340,282,Gardevoir,Guardevoir,サーナイト (Sirnight),3,Normal,Psychic,1.6,48.4,Synchronize,518,68,65,65,125,115,80,Slow,Amorphous,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
341,282,Mega Gardevoir,Guardevoir,サーナイト (Sirnight),3,Normal,Psychic,1.6,48.4,Pixilate,618,68,85,65,165,135,100,Slow,Amorphous,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
342,283,Surskit,Gehweiher,アメタマ (Ametama),3,Normal,Bug,0.5,1.7,Swift Swim,269,40,30,32,50,52,65,Medium Fast,Bug,15.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
343,284,Masquerain,Maskeregen,アメモース (Amemoth),3,Normal,Bug,0.8,3.6,Intimidate,454,70,60,62,100,82,80,Medium Fast,Bug,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
344,285,Shroomish,Knilz,キノココ (Kinococo),3,Normal,Grass,0.4,4.5,Effect Spore,295,60,40,60,40,60,35,Fluctuating,Fairy,15.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
345,286,Breloom,Kapilz,キノガッサ (Kinogassa),3,Normal,Grass,1.2,39.2,Effect Spore,460,60,130,80,60,60,70,Fluctuating,Fairy,15.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0
346,287,Slakoth,Bummelz,ナマケロ (Namakero),3,Normal,Normal,0.8,24.0,Truant,280,60,60,60,35,35,30,Slow,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
347,288,Vigoroth,Muntier,ヤルキモノ (Yarukimono),3,Normal,Normal,1.4,46.5,Vital Spirit,440,80,80,80,55,55,90,Slow,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
348,289,Slaking,Letarking,ケッキング (Kekking),3,Normal,Normal,2.0,130.5,Truant,670,150,160,100,95,65,100,Slow,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
349,290,Nincada,Nincada,ツチニン (Tutinin),3,Normal,Bug,0.5,5.5,Compound Eyes,266,31,45,90,30,30,40,Erratic,Bug,15.0,1.0,2.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
350,291,Ninjask,Ninjask,テッカニン (Tekkanin),3,Normal,Bug,0.8,12.0,Speed Boost,456,61,90,45,50,50,160,Erratic,Bug,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
351,292,Shedinja,Ninjatom,ヌケニン (Nukenin),3,Normal,Bug,0.8,1.2,Wonder Guard,236,1,90,45,30,30,40,Erratic,Mineral,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
352,293,Whismur,Flurmel,ゴニョニョ (Gonyonyo),3,Normal,Normal,0.6,16.3,Soundproof,240,64,51,23,51,23,28,Medium Slow,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
353,294,Loudred,Krakeelo,ドゴーム (Dogohmb),3,Normal,Normal,1.0,40.5,Soundproof,360,84,71,43,71,43,48,Medium Slow,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
354,295,Exploud,Krawumms,バクオング (Bakuong),3,Normal,Normal,1.5,84.0,Soundproof,490,104,91,63,91,73,68,Medium Slow,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
355,296,Makuhita,Makuhita,マクノシタ (Makunoshita),3,Normal,Fighting,1.0,86.4,Thick Fat,237,72,60,30,20,30,25,Fluctuating,Human-Like,20.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
356,297,Hariyama,Hariyama,ハリテヤマ (Hariteyama),3,Normal,Fighting,2.3,253.8,Thick Fat,474,144,120,60,40,60,50,Fluctuating,Human-Like,20.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
357,298,Azurill,Azurill,ルリリ (Ruriri),3,Normal,Normal,0.2,2.0,Thick Fat,190,50,20,40,20,40,20,Fast,Undiscovered,10.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
358,299,Nosepass,Nasgnet,ノズパス (Nosepass),3,Normal,Rock,1.0,97.0,Sturdy,375,30,45,135,45,90,30,Medium Fast,Mineral,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
359,300,Skitty,Eneco,エネコ (Eneco),3,Normal,Normal,0.6,11.0,Cute Charm,260,50,45,45,35,35,50,Fast,Fairy,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
360,301,Delcatty,Enekoro,エネコロロ (Enekororo),3,Normal,Normal,1.1,32.6,Cute Charm,400,70,65,65,55,55,90,Fast,Fairy,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
361,302,Sableye,Zobiris,ヤミラミ (Yamirami),3,Normal,Dark,0.5,11.0,Keen Eye,380,50,75,75,65,65,50,Medium Slow,Human-Like,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
362,302,Mega Sableye,Zobiris,ヤミラミ (Yamirami),3,Normal,Dark,0.5,161.0,Magic Bounce,480,50,85,125,85,115,20,Medium Slow,Human-Like,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
